dateday,season,year,month,holiday,weekday,workingday,weather_situation,casual,registered,count
2011-01-01,Spring,0,Jan,0,Sat,0,Misty/Cloudy,331,654,985
2011-01-02,Spring,0,Jan,0,Sun,0,Misty/Cloudy,131,670,801
2011-01-03,Spring,0,Jan,0,Mon,1,Clear/Partly Cloudy,120,1229,1349
2011-01-04,Spring,0,Jan,0,Tue,1,Clear/Partly Cloudy,108,1454,1562
2011-01-05,Spring,0,Jan,0,Wed,1,Clear/Partly Cloudy,82,1518,1600
2011-01-06,Spring,0,Jan,0,Thu,1,Clear/Partly Cloudy,88,1518,1606
2011-01-07,Spring,0,Jan,0,Fri,1,Misty/Cloudy,148,1362,1510
2011-01-08,Spring,0,Jan,0,Sat,0,Misty/Cloudy,68,891,959
2011-01-09,Spring,0,Jan,0,Sun,0,Clear/Partly Cloudy,54,768,822
2011-01-10,Spring,0,Jan,0,Mon,1,Clear/Partly Cloudy,41,1280,1321
2011-01-11,Spring,0,Jan,0,Tue,1,Misty/Cloudy,43,1220,1263
2011-01-12,Spring,0,Jan,0,Wed,1,Clear/Partly Cloudy,25,1137,1162
2011-01-13,Spring,0,Jan,0,Thu,1,Clear/Partly Cloudy,38,1368,1406
2011-01-14,Spring,0,Jan,0,Fri,1,Clear/Partly Cloudy,54,1367,1421
2011-01-15,Spring,0,Jan,0,Sat,0,Misty/Cloudy,222,1026,1248
2011-01-16,Spring,0,Jan,0,Sun,0,Clear/Partly Cloudy,251,953,1204
2011-01-17,Spring,0,Jan,1,Mon,0,Misty/Cloudy,117,883,1000
2011-01-18,Spring,0,Jan,0,Tue,1,Misty/Cloudy,9,674,683
2011-01-19,Spring,0,Jan,0,Wed,1,Misty/Cloudy,78,1572,1650
2011-01-20,Spring,0,Jan,0,Thu,1,Misty/Cloudy,83,1844,1927
2011-01-21,Spring,0,Jan,0,Fri,1,Clear/Partly Cloudy,75,1468,1543
2011-01-22,Spring,0,Jan,0,Sat,0,Clear/Partly Cloudy,93,888,981
2011-01-23,Spring,0,Jan,0,Sun,0,Clear/Partly Cloudy,150,836,986
2011-01-24,Spring,0,Jan,0,Mon,1,Clear/Partly Cloudy,86,1330,1416
2011-01-25,Spring,0,Jan,0,Tue,1,Misty/Cloudy,186,1799,1985
2011-01-26,Spring,0,Jan,0,Wed,1,Light Snow/Rain,34,472,506
2011-01-27,Spring,0,Jan,0,Thu,1,Clear/Partly Cloudy,15,416,431
2011-01-28,Spring,0,Jan,0,Fri,1,Misty/Cloudy,38,1129,1167
2011-01-29,Spring,0,Jan,0,Sat,0,Clear/Partly Cloudy,123,975,1098
2011-01-30,Spring,0,Jan,0,Sun,0,Clear/Partly Cloudy,140,956,1096
2011-01-31,Spring,0,Jan,0,Mon,1,Misty/Cloudy,42,1459,1501
2011-02-01,Spring,0,Feb,0,Tue,1,Misty/Cloudy,47,1313,1360
2011-02-02,Spring,0,Feb,0,Wed,1,Misty/Cloudy,72,1454,1526
2011-02-03,Spring,0,Feb,0,Thu,1,Clear/Partly Cloudy,61,1489,1550
2011-02-04,Spring,0,Feb,0,Fri,1,Misty/Cloudy,88,1620,1708
2011-02-05,Spring,0,Feb,0,Sat,0,Misty/Cloudy,100,905,1005
2011-02-06,Spring,0,Feb,0,Sun,0,Clear/Partly Cloudy,354,1269,1623
2011-02-07,Spring,0,Feb,0,Mon,1,Clear/Partly Cloudy,120,1592,1712
2011-02-08,Spring,0,Feb,0,Tue,1,Clear/Partly Cloudy,64,1466,1530
2011-02-09,Spring,0,Feb,0,Wed,1,Misty/Cloudy,53,1552,1605
2011-02-10,Spring,0,Feb,0,Thu,1,Clear/Partly Cloudy,47,1491,1538
2011-02-11,Spring,0,Feb,0,Fri,1,Clear/Partly Cloudy,149,1597,1746
2011-02-12,Spring,0,Feb,0,Sat,0,Clear/Partly Cloudy,288,1184,1472
2011-02-13,Spring,0,Feb,0,Sun,0,Clear/Partly Cloudy,397,1192,1589
2011-02-14,Spring,0,Feb,0,Mon,1,Clear/Partly Cloudy,208,1705,1913
2011-02-15,Spring,0,Feb,0,Tue,1,Clear/Partly Cloudy,140,1675,1815
2011-02-16,Spring,0,Feb,0,Wed,1,Clear/Partly Cloudy,218,1897,2115
2011-02-17,Spring,0,Feb,0,Thu,1,Clear/Partly Cloudy,259,2216,2475
2011-02-18,Spring,0,Feb,0,Fri,1,Clear/Partly Cloudy,579,2348,2927
2011-02-19,Spring,0,Feb,0,Sat,0,Clear/Partly Cloudy,532,1103,1635
2011-02-20,Spring,0,Feb,0,Sun,0,Clear/Partly Cloudy,639,1173,1812
2011-02-21,Spring,0,Feb,1,Mon,0,Misty/Cloudy,195,912,1107
2011-02-22,Spring,0,Feb,0,Tue,1,Clear/Partly Cloudy,74,1376,1450
2011-02-23,Spring,0,Feb,0,Wed,1,Clear/Partly Cloudy,139,1778,1917
2011-02-24,Spring,0,Feb,0,Thu,1,Misty/Cloudy,100,1707,1807
2011-02-25,Spring,0,Feb,0,Fri,1,Misty/Cloudy,120,1341,1461
2011-02-26,Spring,0,Feb,0,Sat,0,Clear/Partly Cloudy,424,1545,1969
2011-02-27,Spring,0,Feb,0,Sun,0,Clear/Partly Cloudy,694,1708,2402
2011-02-28,Spring,0,Feb,0,Mon,1,Misty/Cloudy,81,1365,1446
2011-03-01,Spring,0,Mar,0,Tue,1,Clear/Partly Cloudy,137,1714,1851
2011-03-02,Spring,0,Mar,0,Wed,1,Clear/Partly Cloudy,231,1903,2134
2011-03-03,Spring,0,Mar,0,Thu,1,Clear/Partly Cloudy,123,1562,1685
2011-03-04,Spring,0,Mar,0,Fri,1,Misty/Cloudy,214,1730,1944
2011-03-05,Spring,0,Mar,0,Sat,0,Misty/Cloudy,640,1437,2077
2011-03-06,Spring,0,Mar,0,Sun,0,Misty/Cloudy,114,491,605
2011-03-07,Spring,0,Mar,0,Mon,1,Clear/Partly Cloudy,244,1628,1872
2011-03-08,Spring,0,Mar,0,Tue,1,Clear/Partly Cloudy,316,1817,2133
2011-03-09,Spring,0,Mar,0,Wed,1,Misty/Cloudy,191,1700,1891
2011-03-10,Spring,0,Mar,0,Thu,1,Light Snow/Rain,46,577,623
2011-03-11,Spring,0,Mar,0,Fri,1,Misty/Cloudy,247,1730,1977
2011-03-12,Spring,0,Mar,0,Sat,0,Clear/Partly Cloudy,724,1408,2132
2011-03-13,Spring,0,Mar,0,Sun,0,Clear/Partly Cloudy,982,1435,2417
2011-03-14,Spring,0,Mar,0,Mon,1,Clear/Partly Cloudy,359,1687,2046
2011-03-15,Spring,0,Mar,0,Tue,1,Misty/Cloudy,289,1767,2056
2011-03-16,Spring,0,Mar,0,Wed,1,Misty/Cloudy,321,1871,2192
2011-03-17,Spring,0,Mar,0,Thu,1,Clear/Partly Cloudy,424,2320,2744
2011-03-18,Spring,0,Mar,0,Fri,1,Clear/Partly Cloudy,884,2355,3239
2011-03-19,Spring,0,Mar,0,Sat,0,Clear/Partly Cloudy,1424,1693,3117
2011-03-20,Spring,0,Mar,0,Sun,0,Clear/Partly Cloudy,1047,1424,2471
2011-03-21,Summer,0,Mar,0,Mon,1,Misty/Cloudy,401,1676,2077
2011-03-22,Summer,0,Mar,0,Tue,1,Clear/Partly Cloudy,460,2243,2703
2011-03-23,Summer,0,Mar,0,Wed,1,Misty/Cloudy,203,1918,2121
2011-03-24,Summer,0,Mar,0,Thu,1,Misty/Cloudy,166,1699,1865
2011-03-25,Summer,0,Mar,0,Fri,1,Clear/Partly Cloudy,300,1910,2210
2011-03-26,Summer,0,Mar,0,Sat,0,Clear/Partly Cloudy,981,1515,2496
2011-03-27,Summer,0,Mar,0,Sun,0,Misty/Cloudy,472,1221,1693
2011-03-28,Summer,0,Mar,0,Mon,1,Clear/Partly Cloudy,222,1806,2028
2011-03-29,Summer,0,Mar,0,Tue,1,Clear/Partly Cloudy,317,2108,2425
2011-03-30,Summer,0,Mar,0,Wed,1,Misty/Cloudy,168,1368,1536
2011-03-31,Summer,0,Mar,0,Thu,1,Light Snow/Rain,179,1506,1685
2011-04-01,Summer,0,Apr,0,Fri,1,Misty/Cloudy,307,1920,2227
2011-04-02,Summer,0,Apr,0,Sat,0,Misty/Cloudy,898,1354,2252
2011-04-03,Summer,0,Apr,0,Sun,0,Clear/Partly Cloudy,1651,1598,3249
2011-04-04,Summer,0,Apr,0,Mon,1,Clear/Partly Cloudy,734,2381,3115
2011-04-05,Summer,0,Apr,0,Tue,1,Misty/Cloudy,167,1628,1795
2011-04-06,Summer,0,Apr,0,Wed,1,Clear/Partly Cloudy,413,2395,2808
2011-04-07,Summer,0,Apr,0,Thu,1,Clear/Partly Cloudy,571,2570,3141
2011-04-08,Summer,0,Apr,0,Fri,1,Misty/Cloudy,172,1299,1471
2011-04-09,Summer,0,Apr,0,Sat,0,Misty/Cloudy,879,1576,2455
2011-04-10,Summer,0,Apr,0,Sun,0,Misty/Cloudy,1188,1707,2895
